"Freq [GHz]","ang_deg(S(3,1)) [deg]","ang_deg(S(4,1)) [deg]"
0.8,-38.535601932113,-123.962060999501
0.801,-38.7398976059652,-124.247549444608
0.802,-38.9446777428632,-124.532606721182
0.803,-39.1499337827825,-124.817234834287
0.804,-39.3556573178546,-125.101435856879
0.805,-39.5618400911606,-125.385211929454
0.806,-39.7684739955089,-125.668565259717
0.807,-39.9755510722025,-125.951498122244
0.808,-40.1830635097934,-126.23401285816
0.809,-40.3910036428273,-126.516111874811
0.81,-40.5993639505796,-126.797797645457
0.811,-40.8081370557815,-127.079072708954
0.812,-41.0173157233404,-127.359939669462
0.813,-41.2268928590524,-127.640401196141
0.814,-41.43686150831,-127.920460022871
0.815,-41.6472148548044,-128.200118947967
0.816,-41.8579462192241,-128.479380833915
0.817,-42.0690490579494,-128.7582486071
0.818,-42.2805169617456,-129.036725257562
0.819,-42.4923436544523,-129.314813838743
0.82,-42.7045229916732,-129.592517467257
0.821,-42.9170489594639,-129.869839322661
0.822,-43.1299156730199,-130.146782647243
0.823,-43.3431173753654,-130.423350745814
0.824,-43.5566484360421,-130.699546985512
0.825,-43.7705033497996,-130.975374795623
0.826,-43.9846767352887,-131.250837667405
0.827,-44.1991633337549,-131.525939153926
0.828,-44.4139580077363,-131.800682869919
0.829,-44.6290557397639,-132.075072491641
0.83,-44.8444516310645,-132.349111756748
0.831,-45.0601409002687,-132.622804464189
0.832,-45.2761188821213,-132.896154474096
0.833,-45.4923810261973,-133.169165707708
0.834,-45.7089228956212,-133.441842147294
0.835,-45.9257401657918,-133.714187836092
0.836,-46.1428286231116,-133.986206878271
0.837,-46.3601841637206,-134.257903438892
0.838,-46.5778027922367,-134.5292817439
0.839,-46.7956806204998,-134.800346080116
0.84,-47.0138138663227,-135.071100795256
0.841,-47.2321988522461,-135.341550297961
0.842,-47.4508320043009,-135.611699057838
0.843,-47.6697098507741,-135.881551605522
0.844,-47.8888290209819,-136.151112532757
0.845,-48.1081862440476,-136.420386492488
0.846,-48.3277783476849,-136.68937819897
0.847,-48.5476022569876,-136.958092427897
0.848,-48.7676549932235,-137.226534016547
0.849,-48.9879336726349,-137.494707863947
0.85,-49.2084355052429,-137.762618931049
0.851,-49.4291577936584,-138.030272240933
0.852,-49.6500979318966,-138.297672879021
0.853,-49.8712534041969,-138.564825993318
0.854,-50.0926217838474,-138.831736794659
0.855,-50.3142007320134,-139.098410556993
0.856,-50.5359879965702,-139.364852617669
0.857,-50.7579814109393,-139.631068377754
0.858,-50.9801788929287,-139.897063302368
0.859,-51.2025784435758,-140.162842921035
0.86,-51.4251781459934,-140.428412828062
0.861,-51.6479761642182,-140.693778682933
0.862,-51.8709707420611,-140.958946210732
0.863,-52.0941602019592,-141.223921202575
0.864,-52.3175429438296,-141.48870951608
0.865,-52.5411174439229,-141.753317075844
0.866,-52.7648822536779,-142.017749873958
0.867,-52.9888359985755,-142.28201397053
0.868,-53.2129773769917,-142.546115494242
0.869,-53.4373051590495,-142.810060642928
0.87,-53.6618181854688,-143.073855684171
0.871,-53.8865153664131,-143.337506955935
0.872,-54.1113956803335,-143.60102086721
0.873,-54.3364581728081,-143.864403898689
0.874,-54.5617019553772,-144.127662603472
0.875,-54.7871262043721,-144.390803607788
0.876,-55.0127301597382,-144.653833611753
0.877,-55.2385131238508,-144.916759390145
0.878,-55.4644744603224,-145.179587793215
0.879,-55.690613592801,-145.442325747517
0.88,-55.9169300037585,-145.704980256773
0.881,-56.1434232332682,-145.967558402761
0.882,-56.3700928777696,-146.230067346235
0.883,-56.5969385888206,-146.49251432787
0.884,-56.8239600718346,-146.754906669242
0.885,-57.0511570848028,-147.017251773831
0.886,-57.2785294369986,-147.279557128061
0.887,-57.5060769876648,-147.541830302366
0.888,-57.7337996446802,-147.804078952288
0.889,-57.9616973632062,-148.06631081961
0.89,-58.1897701443095,-148.328533733511
0.891,-58.418018033562,-148.590755611771
0.892,-58.6464411196143,-148.85298446199
0.893,-58.8750395327411,-149.11522838285
0.894,-59.1038134433588,-149.377495565415
0.895,-59.3327630605103,-149.639794294452
0.896,-59.5618886303176,-149.9021329498
0.897,-59.7911904343991,-150.164520007769
0.898,-60.0206687882495,-150.42696404257
0.899,-60.2503240395801,-150.689473727792
0.9,-60.4801565666173,-150.952057837905
0.901,-60.7101667763569,-151.214725249806
0.902,-60.9403551027713,-151.477484944403
0.903,-61.1707220049678,-151.740346008233
0.904,-61.4012679652936,-152.003317635125
0.905,-61.6319934873869,-152.266409127896
0.906,-61.8628990941689,-152.52962990009
0.907,-62.0939853257747,-152.792989477758
0.908,-62.3252527374198,-153.056497501276
0.909,-62.5567018971985,-153.320163727204
0.91,-62.7883333838097,-153.583998030194
0.911,-63.0201477842086,-153.84801040493
0.912,-63.252145691178,-154.112210968116
0.913,-63.4843277008163,-154.376609960507
0.914,-63.7166944099375,-154.641217748986
0.915,-63.9492464133787,-154.906044828677
0.916,-64.1819843012111,-155.171101825113
0.917,-64.4149086558478,-155.436399496444
0.918,-64.6480200490455,-155.701948735688
0.919,-64.8813190387925,-155.967760573033
0.92,-65.1148061660787,-156.233846178181
0.921,-65.3484819515419,-156.500216862747
0.922,-65.5823468919824,-156.76688408269
0.923,-65.8164014567415,-157.033859440808
0.924,-66.0506460839358,-157.301154689273
0.925,-66.2850811765407,-157.568781732212
0.926,-66.5197070983149,-157.836752628338
0.927,-66.7545241695595,-158.105079593639
0.928,-66.9895326627018,-158.373775004099
0.929,-67.2247327976964,-158.642851398482
0.93,-67.4601247372346,-158.91232148116
0.931,-67.6957085817509,-159.182198124991
0.932,-67.9314843642199,-159.452494374243
0.933,-68.1674520447302,-159.723223447576
0.934,-68.403611504826,-159.994398741066
0.935,-68.6399625416045,-160.266033831279
0.936,-68.8765048615581,-160.538142478397
0.937,-69.1132380741466,-160.810738629393
0.938,-69.3501616850894,-161.083836421249
0.939,-69.5872750893611,-161.357450184231
0.94,-69.8245775638781,-161.631594445203
0.941,-70.0620682598594,-161.906283930993
0.942,-70.299746194847,-162.181533571808
0.943,-70.5376102443688,-162.457358504685
0.944,-70.7756591332261,-162.733774076997
0.945,-71.0138914263877,-163.010795849997
0.946,-71.2523055194715,-163.288439602408
0.947,-71.4908996287932,-163.566721334047
0.948,-71.7296717809601,-163.845657269501
0.949,-71.9686198019899,-164.12526386183
0.95,-72.207741305928,-164.405557796311
0.951,-72.4470336829418,-164.686555994218
0.952,-72.6864940868638,-164.968275616631
0.953,-72.9261194221583,-165.250734068276
0.954,-73.1659063302817,-165.533949001394
0.955,-73.405851175408,-165.817938319634
0.956,-73.6459500294869,-166.102720181965
0.957,-73.8861986566024,-166.388313006606
0.958,-74.126592496597,-166.674735474977
0.959,-74.3671266479254,-166.962006535654
0.96,-74.6077958496993,-167.250145408331
0.961,-74.8485944628837,-167.539171587783
0.962,-75.0895164506015,-167.829104847833
0.963,-75.3305553575041,-168.119965245302
0.964,-75.57170428816,-168.411773123944
0.965,-75.8129558844129,-168.704549118373
0.966,-76.054302301659,-168.998314157943
0.967,-76.2957351839882,-169.293089470616
0.968,-76.5372456381349,-169.588896586766
0.969,-76.7788242061756,-169.885757342952
0.97,-77.0204608369156,-170.18369388562
0.971,-77.2621448558943,-170.482728674741
0.972,-77.503864933945,-170.782884487373
0.973,-77.7456090542328,-171.084184421126
0.974,-77.9873644776984,-171.386651897541
0.975,-78.2291177068256,-171.69031066534
0.976,-78.4708544476499,-171.995184803563
0.977,-78.712559569921,-172.301298724561
0.978,-78.9542170653252,-172.608677176838
0.979,-79.195810003674,-172.917345247716
0.98,-79.4373204869538,-173.227328365826
0.981,-79.6787296011341,-173.538652303386
0.982,-79.9200173656186,-173.85134317826
0.983,-80.1611626802264,-174.165427455775
0.984,-80.4021432695763,-174.480931950275
0.985,-80.6429356247492,-174.79788382639
0.986,-80.883514942091,-175.116310599995
0.987,-81.1238550590172,-175.436240138835
0.988,-81.3639283866688,-175.757700662788
0.989,-81.6037058392682,-176.080720743747
0.99,-81.8431567600089,-176.405329305072
0.991,-82.0822488433142,-176.731555620601
0.992,-82.3209480532851,-177.05942931318
0.993,-82.5592185381535,-177.388980352671
0.994,-82.7970225405487,-177.720239053404
0.995,-83.0343203033752,-178.053236071049
0.996,-83.2710699710926,-178.38800239884
0.997,-83.5072274861799,-178.724569363135
0.998,-83.7427464805567,-179.062968618247
0.999,-83.9775781617266,-179.403232140511
1,-84.2116711933964,-179.745392221532
