"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
0.7,-12.9077312743015,-10.0079065476969,-6.39342089100557,-2.28013559559584
0.705,-13.1570492186042,-10.3456732094487,-6.19581251378435,-2.28154736211085
0.71,-13.4171548836667,-10.6938550435178,-6.00544433621849,-2.28643627360619
0.715,-13.6881770583972,-11.0525557582699,-5.82250162224389,-2.29459468605839
0.72,-13.9702732582636,-11.4219017317518,-5.64707912220038,-2.30580946479376
0.725,-14.2636355729499,-11.8020470083128,-5.47919633161752,-2.3198639069792
0.73,-14.5684969825425,-12.1931785963427,-5.3188109427345,-2.33653953218884
0.735,-14.885138238116,-12.5955221192057,-5.16583058754742,-2.35561772292204
0.74,-15.2138954327233,-13.0093478890454,-5.02012300482568,-2.37688120273387
0.745,-15.555168424719,-13.4349774921974,-4.88152477893621,-2.40011534499213
0.75,-15.909430318722,-13.8727909954215,-4.74984880170553,-2.42510931005514
0.755,-16.2772382626051,-14.3232349038276,-4.62489060440458,-2.45165701278527
0.76,-16.6592458847402,-14.7868310237199,-4.5064336983662,-2.47955792573378
0.765,-17.056217778403,-15.2641864054341,-4.39425405184054,-2.50861772605236
0.77,-17.4690465451779,-15.7560045602838,-4.28812381883665,-2.53864879623545
0.775,-17.8987730435637,-16.2630981575076,-4.18781442376232,-2.56947059022923
0.78,-18.3466106622008,-16.7864034034626,-4.09309909418676,-2.60090987732593
0.785,-18.8139746614245,-17.3269962715206,-4.00375492330916,-2.63280087667359
0.79,-19.3025179176723,-17.8861106609394,-3.91956453386936,-2.66498529525133
0.795,-19.8141747813465,-18.4651583698057,-3.84031740633631,-2.69731228186666
0.8,-20.3512152405216,-19.0657503881703,-3.7658109262512,-2.72963830919845
0.805,-20.9163121874018,-19.6897183051216,-3.69585119854641,-2.76182699520316
0.81,-21.5126253107357,-20.3391333131209,-3.63025367045072,-2.79374887438167
0.815,-22.1439059298691,-21.0163179067659,-3.5688435991626,-2.8252811285195
0.82,-22.814627744572,-21.7238410434583,-3.51145639575909,-2.85630728560622
0.825,-23.5301484359544,-22.4644796764824,-3.4579378727445,-2.8867168947446
0.83,-24.2969048575231,-23.2411152973185,-3.40814441917077,-2.91640518400336
0.835,-25.1226365198741,-24.0565082155849,-3.36194312432544,-2.94527270737015
0.84,-26.0166089385091,-24.9128456254355,-3.31921186853592,-2.97322498624049
0.845,-26.9897466545101,-25.8108772592866,-3.27983939763842,-3.00017215024539
0.85,-28.0544246552759,-26.7483153201742,-3.24372539607135,-3.02602858168521
0.855,-29.2232483835738,-27.7169765543645,-3.21078057234901,-3.05071256740811
0.86,-30.5050713517177,-28.6979642953982,-3.18092676983007,-3.07414596165477
0.865,-31.8938209416621,-29.6544290125473,-3.15409711520308,-3.09625386319523
0.87,-33.3401492667627,-30.5232936598658,-3.13023621696177,-3.1169643100162
0.875,-34.6920048069823,-31.2126458355138,-3.10930042633774,-3.13620799488997
0.88,-35.6292658516884,-31.6184725471491,-3.09125817370636,-3.15391800538243
0.885,-35.7700412302535,-31.6679924493048,-3.07609039440397,-3.17002959225611
0.89,-35.049762866534,-31.3631074733814,-3.06379105921856,-3.1844799708192
0.895,-33.8040012699732,-30.7788127673675,-3.05436782658476,-3.19720816059387
0.9,-32.3937184699517,-30.0184226442989,-3.04784283577939,-3.2081548697677
0.905,-31.0121203649205,-29.1714474996244,-3.04425366324648,-3.21726243230196
0.91,-29.7287745250967,-28.2983475626611,-3.0436544676646,-3.22447480736653
0.915,-28.5573022227352,-27.4337849203137,-3.04611735361041,-3.22973765303534
0.92,-27.4909874025947,-26.5949525819433,-3.05173398879464,-3.23299848901533
0.925,-26.517323323317,-25.7886864817913,-3.06061751599948,-3.23420696672657
0.93,-25.6233363362237,-25.0161565917467,-3.07290480820064,-3.23331526946814
0.935,-24.7973099208137,-24.2756392960165,-3.08875912410685,-3.23027867089977
0.94,-24.0291730471968,-23.5640678331192,-3.10837323170598,-3.22505628690086
0.945,-23.3104239868457,-22.8778704988494,-3.13197307958631,-3.21761206435432
0.95,-22.6339184340595,-22.2134102911887,-3.15982211000376,-3.20791606093603
0.955,-21.9936420302096,-21.567206165575,-3.19222632403225,-3.19594608305098
0.96,-21.38450718619,-20.9360363590938,-3.22954022767292,-3.18168976522543
0.965,-20.8021837829681,-20.3169791052547,-3.27217380826254,-3.1651471942335
0.97,-20.2429625085377,-19.7074210494356,-3.32060071219791,-3.14633420581882
0.975,-19.7036463512708,-19.1050499276048,-3.37536781635874,-3.125286511987
0.98,-19.181465388079,-18.5078405398445,-3.43710640375717,-3.10206485349502
0.985,-18.6740106023082,-17.914038942602,-3.50654516364312,-3.076761416351
0.99,-18.1791833087114,-17.3221475681118,-3.58452522846965,-3.04950780372023
0.995,-17.695157583022,-16.7309128155085,-3.67201741932789,-3.02048491604862
1,-17.2203538088751,-16.1393160811039,-3.77014177178323,-2.98993516201683
1.005,-16.7534220526186,-15.5465689447949,-3.88018921237896,-2.95817749902203
1.01,-16.2932344665525,-14.9521131559831,-4.00364488113727,-2.92562587925708
1.015,-15.8388863145053,-14.3556260747093,-4.1422119297842,-2.89281174634041
1.02,-15.3897055132881,-13.7570322592273,-4.29783347652692,-2.86041127046008
1.025,-14.9452707780692,-13.1565218964148,-4.47270845139367,-2.82927799815055
1.03,-14.5054385177942,-12.554576688073,-4.66929381131893,-2.80048148022998
1.035,-14.0703784914717,-11.9520035604411,-4.89028022517698,-2.77535215894794
1.04,-13.6406178191523,-11.3499760577355,-5.13851955187718,-2.75553224443792
1.045,-13.2170921206842,-10.7500823858896,-5.41686836405685,-2.74303136017088
1.05,-12.8012011819423,-10.1543776395448,-5.72788985981475,-2.74028423056798
1.055,-12.3948644737088,-9.56543562708477,-6.07332415739761,-2.75020546616814
1.06,-12.0005689885579,-8.9863928257962,-6.45319417604632,-2.77623348357775
1.065,-11.621398314526,-8.42097345771468,-6.86437188312569,-2.82235187466273
1.07,-11.2610280923877,-7.87348094454319,-7.2984302743614,-2.89307257326576
1.075,-10.9236700402866,-7.34873811282231,-7.73876656490206,-2.99336199384859
1.08,-10.6139463116521,-6.85195820185248,-8.15753792442125,-3.12849067065304
1.085,-10.3366803475454,-6.38853320826611,-8.51417049625367,-3.30379106695941
1.09,-10.096601646752,-5.9637373744171,-8.75878648400342,-3.52431918257406
1.095,-9.89798041540987,-5.58236203112519,-8.8437654578287,-3.79443374232312
1.1,-9.7442309526082,-5.24832058211941,-8.74148007218938,-4.11732917621803
