"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
0.7,-9.91520711114292,-8.6535621719329,-6.15897756922673,-3.22633966823264
0.702,-9.97550921926858,-8.74089822892227,-6.10377676607405,-3.21728012858608
0.704,-10.0370389951366,-8.82920579183754,-6.04876896877361,-3.20863500689158
0.706,-10.099801018262,-8.91848880593711,-5.9939855942189,-3.20039919919771
0.708,-10.16379991258,-9.00875122377701,-5.93945666598865,-3.19256742882636
0.71,-10.2290403566251,-9.0999970147451,-5.88521082941908,-3.18513425139817
0.712,-10.2955270939319,-9.1922301748051,-5.83127536998449,-3.17809405999954
0.714,-10.3632649436404,-9.28545473643295,-5.77767623463053,-3.17144109047827
0.716,-10.4322588112856,-9.37967477872638,-5.72443805572245,-3.16516942685551
0.718,-10.5025136997521,-9.47489443766795,-5.67158417728872,-3.15927300684107
0.72,-10.574034720369,-9.57111791651987,-5.61913668325969,-3.15374562743961
0.722,-10.6468271041256,-9.66834949632837,-5.56711642741963,-3.14858095063489
0.724,-10.7208962129783,-9.76659354651319,-5.51554306480923,-3.14377250913955
0.726,-10.7962475512252,-9.86585453551614,-5.46443508433488,-3.13931371219812
0.728,-10.8728867769171,-9.96613704148169,-5.41380984235868,-3.13519785143079
0.73,-10.9508197132745,-10.067445762939,-5.36368359706136,-3.13141810670606
0.732,-11.0300523600761,-10.1697855294539,-5.31407154338716,-3.1279675520304
0.734,-11.1105909049826,-10.2731613122164,-5.26498784839636,-3.12483916144333
0.736,-11.1924417347546,-10.3775782345251,-5.21644568686681,-3.12202581490682
0.738,-11.2756114463229,-10.4830415821298,-5.16845727700074,-3.11952030417802
0.74,-11.360106857661,-10.5895568133854,-5.12103391610732,-3.11731533865489
0.742,-11.4459350184098,-10.6971295691712,-5.07418601614476,-3.11540355118454
0.744,-11.5331032201951,-10.8057656825206,-5.02792313901826,-3.11377750382455
0.746,-11.6216190065767,-10.9154711879039,-4.98225403154172,-3.11242969354814
0.748,-11.7114901825569,-11.0262523300998,-4.93718665998221,-3.11135255788408
0.75,-11.8027248235739,-11.1381155725854,-4.89272824411613,-3.11053848048321
0.752,-11.8953312838921,-11.2510676053655,-4.84888529073547,-3.10997979660355
0.754,-11.9893182042963,-11.3651153521559,-4.80566362655129,-3.10966879850654
0.756,-12.0846945189838,-11.4802659768239,-4.7630684304493,-3.10959774075754
0.758,-12.181469461537,-11.5965268889799,-4.72110426506,-3.10975884542416
0.76,-12.2796525698464,-11.7139057486019,-4.67977510761225,-3.11014430716632
0.762,-12.3792536898386,-11.8324104695597,-4.63908438004552,-3.11074629821275
